state,stage,year,lat,lng,population,students,schools,students_per_school,students_per_1000_pop
Perlis,primary,2021,6.4333,100.20000000000002,48898,24175,74,326.68918918918916,494.39649883430815
Perlis,primary,2022,6.4333,100.20000000000002,48898,24253,74,327.7432432432432,495.991656100454
Perlis,secondary,2017,6.4333,100.20000000000002,48898,21201,30,706.7,433.57601537895215
Perlis,secondary,2018,6.4333,100.20000000000002,48898,18498,30,616.6,378.2976808867438
Perlis,secondary,2019,6.4333,100.20000000000002,48898,17987,30,599.5666666666667,367.8473557200703
Perlis,secondary,2020,6.4333,100.20000000000002,48898,18015,30,600.5,368.41997627714835
Perlis,secondary,2021,6.4333,100.20000000000002,48898,18594,30,619.8,380.2609513681541
Perlis,secondary,2022,6.4333,100.20000000000002,48898,19115,30,637.1666666666666,390.91578387664117
Pulau Pinang,primary,2017,5.398077000906034,100.35874004820894,2067251,130455,271,481.38376383763836,63.105544512978824
Pulau Pinang,primary,2018,5.398077000906034,100.35874004820894,2067251,130190,271,480.4059040590406,62.97735495109205
Pulau Pinang,primary,2019,5.398077000906034,100.35874004820894,2067251,131575,271,485.51660516605165,63.64732681227389
Pulau Pinang,primary,2020,5.398077000906034,100.35874004820894,2067251,130713,271,482.3357933579336,63.230347935495004
Pulau Pinang,primary,2021,5.398077000906034,100.35874004820894,2067251,130415,271,481.2361623616236,63.08619514514687
Pulau Pinang,primary,2022,5.398077000906034,100.35874004820894,2067251,129598,270,479.9925925925926,62.69098430717895
Pulau Pinang,secondary,2017,5.398077000906034,100.35874004820894,2067251,111105,127,874.8425196850394,53.74528782426517
Pulau Pinang,secondary,2018,5.398077000906034,100.35874004820894,2067251,100598,128,785.921875,48.662692629003445
Pulau Pinang,secondary,2019,5.398077000906034,100.35874004820894,2067251,98380,128,768.59375,47.58977018272092
Pulau Pinang,secondary,2020,5.398077000906034,100.35874004820894,2067251,97720,128,763.4375,47.27050561349348
